id,gamename,secretkey,description,queryport,backendflags,disabledservices,keylist,keytypelist
141,millebourn,kD072v,Hasbro's Mille Bournes,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
142,msgolf99,alVRIq,Microsoft Golf '99,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
143,civ2tot,alVRIq,Civ2TOTime,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
144,close4bb,alVRIq,CloseCombat4BB,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
145,aliencross,IOrDfP,Alien Crossfire,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
146,outlaws,TKuE2P,Outlaws,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
147,civ2gold,alVRIq,Civilization 2: Gold,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
148,getmede,3MHCZ8,Get Medieval,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
149,gruntz,alVRIq,Gruntz,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
150,monopoly,alVRIq,Monopoly,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
151,rb6,49qmcl,Rainbow Six,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
152,wz2100,kD072v,WarZone2100,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
153,rebellion,TKuE2P,Star Wars Rebellion,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
154,ccombat3,TKuE2P,Close Combat 3,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
155,baldursg,3MHCZ8,Baludurs Gate,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
156,jkmosith1,kD072v,Jedi K:Mystery of Sith1,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
157,smgettysbu,3MHCZ8,Sid Meier's Gettysburg,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
158,srally2dmo,kD072v,Sega Rally 2 PC Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
159,fltsim2k,TKuE2P,Flight Simulator 2000,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
160,aowdemo,alVRIq,Age Of Wonders Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
161,duke4,8n2Hge,Duke Nukem Forever,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
162,aowfull,alVRIq,Age Of Wonders,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
163,darkstone,3MHCZ8,Darkstone,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
164,abominatio,qik37G,Abomination,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
165,bc3k,5LnQaz,Battle Cruiser 3000 AD,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
166,outlawsdem,k37G3M,Outlaw Multiplay Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
167,allegiance,YghTwJ,MS Allegiance,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
168,rsurbanops,4nHpA3,Rogue Spear: Urban Ops,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
169,aoe2demo,alVRIq,Age of Empires II Trial,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
170,mcmaddemo,3MHCZ8,Motocross Madness Trial,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
171,midmaddemo,3MHCZ8,Midtown Madness Trial,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
172,mtmdemo,6I2vIO,MonsterTruckMadnessTrial,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
173,axisallies,JwWh9S,Axis & Allies,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
174,rallychamp,TKuE2P,Mobil1 Rally Championship,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
175,worms2,IOrDfP,Worms 2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
176,mtruckm2,TKuE2P,Monster Truck Madness 2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
177,powerslide,nx6I2v,Powerslide,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
178,kissdc,9tFALe,Kiss: Dreamcast,6500,0,0,,
179,legendsmm,5Kbawl,Legends of Might and Magic,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
180,mech4,uNbXef,Mechwarrior 4,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
181,sofretail,iVn3a3,Soldier of Fortune: Retail,6500,0,0,,
182,majesty,qik37G,Majesty,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
183,fblackjack,NeVbEa,Fiendish Blackjack,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
184,slancerdc,UbNea2,Starlancer: Dreamcast,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
185,fbackgammon,Un3apK,Fiendish Backgammon,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
186,dogsofwar,Mbe3if,Dogs of War,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
187,starlancer,qik37G,StarLancer,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
188,laserarena,TBQMIr,Laser Arena (2015),6500,0,0,,
189,mmadness2,MZIq1w,Motocross Madness 2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
190,obiwon,UnEhYr,Obi-Wan,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
191,ra3,JnEfae,Rocket Arena 3,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
